	N	Location	Scale	Degree of Freedom	Shape
A2M	56.0	-4.178423892287354	4.286221427352446	1414112.4260558244	17.168898049055095
AAAS	56.0	2.5756853035828824	0.5307452521396885	3221805.054294693	25.293161131990807
AACS	56.0	0.9770715447588383	0.3025533333231775	4.805406310273819	-0.019387884805387445
AADAT	56.0	1.533695646345314	0.7330855063047792	2415269.74878377	-1.480739005383211
AAED1	56.0	1.0440949873659102	0.6158961320142219	11.476103114051343	11.697941801345847
AAGAB	56.0	2.8673497184510643	0.24912915727724255	6.511250423204067	0.7430810584426373
AAK1	56.0	-0.10342713517945964	0.41803870236092644	40.01877499584708	1.9572773535672547
AAMDC	56.0	2.482163180578238	0.5648734286834686	33.09600133511384	-4.448111191139816
AAMP	56.0	4.169717438305092	0.3904254122905929	4145851.495873281	-2.016430241028962
AAR2	56.0	2.7691568728062155	0.23719527624093903	5.120463816075052	-0.2236302627043837
AARS	56.0	3.91613928551443	0.4645523318407836	8.976454244722778	2.06787094797217
AARS2	56.0	1.7172800301571578	0.36780384380186204	1482864.6209900435	2.639224438585316
AARSD1	56.0	2.714659170744462	0.22666441963392153	2.4801441597513403	-0.11731764904037847
AASDH	56.0	0.9618516391819718	0.27409008509128985	2.7094761427263503	0.5471681669506989
AASDHPPT	56.0	3.1081451361777934	0.2865279151605995	3.0194056924755888	-0.9707676928485373
AASS	56.0	2.13049083449779	0.6234534737220341	5.311653369778483	-0.5994989853883952
AATF	56.0	3.128671962824901	0.5321823551918614	2008210.8890062738	1.9529947353579333
ABCA1	56.0	2.7910875103145822	1.5210987941337195	6.084020482185332	-2.6031046022258053
ABCA12	56.0	-4.9511102443918915	2.1401864945047864	3177174.4318902604	1.9876291476881693
ABCA13	56.0	-3.2155361731070795	2.496506309668252	3934872.135414336	1.1114099263228936
ABCA2	56.0	1.6441314052143072	0.4901343657852491	7.69188996280766	0.3697879710726558
ABCA3	56.0	0.21499446090119864	1.8508092418216067	6096447.448452748	0.009526874619547158
ABCA4	56.0	-2.60410599958365	1.5420248251484212	781391.6392130132	-0.5502643730303621
ABCA5	56.0	1.0699353652959636	0.9277723735291192	2.3374371434472483	-2.392248189393367
ABCA7	56.0	1.5038692640693758	0.8980085680592073	5194645.742469154	-1.1838387727096664
ABCB1	56.0	-4.824977084728643	3.6171355524151565	6376604.646403559	4.754376137869091
ABCB10	56.0	2.3077925255249907	0.5764006349843981	4802423.77633711	-2.2882631800441833
ABCB6	56.0	3.203367593359731	0.6723216373252893	5065320.19355721	-0.8428504991299689
ABCB7	56.0	2.0465044624600868	0.3621858702854579	5.470098873124244	1.3810835758348539
ABCB8	56.0	2.332171020010569	0.4002693806923271	5.050389953168313	-1.9529571847632214
ABCB9	56.0	1.0105547191182849	0.8937403573290734	5560185.636697182	-3.029174546432249
ABCC1	56.0	3.1540968456219223	0.3789959668293978	3.0878325653821013	-0.5177290422754911
ABCC10	56.0	2.0074630085706713	0.592130443997089	3844259.1421391624	-3.6400461531433335
ABCC2	56.0	-1.8231910677414995	1.3480574408173447	3.0848545617554906	2.1088072430090685
ABCC3	56.0	3.8112421423532297	2.01165641727439	5.940883828911883	-5.559844045031398
ABCC4	56.0	1.2443949476163954	0.8364227584027025	2312819.6016006237	1.3363389179373029
ABCC5	56.0	1.6628181374360111	0.30247313455047875	2.470152334560131	-0.14729153567331194
ABCC6	56.0	-3.255491834078641	1.5803456361394068	5696867.124971472	5.315926822128568
ABCD1	56.0	1.9928175303910924	0.4726838668589662	5.676692900891424	-0.054752221244701346
ABCD3	56.0	2.664294354271008	0.4086423020093179	12.510880560575032	-1.6020937202194143
ABCD4	56.0	1.4131986366358529	0.5963784838728126	5880948.917910986	5.590779201723201
ABCE1	56.0	3.91270522422687	0.37506738935473083	9.986554397775834	-1.1202079332445383
ABCF1	56.0	3.890507463552741	0.4004745641096425	4952370.964260198	-1.5970350913465343
ABCF2	56.0	3.3593034698090722	0.32409084407899824	55.640775287564324	-0.32933851563261407
ABCF3	56.0	3.256726174085209	0.28043777078971577	818617.296623647	-0.38947490031199594
ABCG2	56.0	1.0420525099950964	2.449387155068946	4296244.561636993	-1.8450253350769916
ABCG4	56.0	-1.8620959068248126	1.038395304734184	64628.06042947169	-0.72032548025674
ABHD10	56.0	2.359677528241469	0.28365483893997423	5.8999965855949394	0.5491616079667949
ABHD11	56.0	2.837010967459891	0.6667798322067606	3477642.215464782	-2.276336821711595
ABHD12	56.0	3.3801402626100163	0.40469257498463995	60300.83825052976	0.017099678111746102
