	P0	P1	P2	P3	P4	P5
(-) AAMDC	0.06821096349532274	0.11535068462864663	0.0021511638324079258	0.0	0.0661254009553074	0.015306347163158809
(-) AASDHPPT	0.016321967715130208	0.0	0.0019318167124405677	0.0832883278787156	0.04197733911172311	0.0
(-) ABCA5	0.1603557189103227	0.0	0.0	0.07071628252020232	0.22138003464167608	0.050671054350645665
(-) ABCB8	0.10335976563195638	0.0	0.02120308239496016	0.0	0.0	0.08694442736271187
(-) ABCC3	0.060346280131650124	0.05283457600162846	0.0	0.11319378067468847	0.23903784346766838	0.05759398766896357
(-) ABCD3	0.013514455925877735	0.0	0.006581770953685059	0.06835389056567504	0.11144169158007526	0.0
(-) ABHD8	0.07164885570776192	0.1373265205593889	0.0	0.028139262257755888	0.032187664152212414	0.007759461894040423
(-) ABL1	0.0	0.09184727527005128	0.04472988737056449	0.010358880738081534	0.04401552926933935	0.02887772609476592
(-) ABLIM3	0.01071178238631601	0.06929598838291745	0.4742741539775329	0.0	0.0	0.1181925340962808
(-) ABTB1	0.14809993072308714	0.0	0.04920098044252104	0.0	0.0	0.06850428055141923
(-) AC141586.5	0.00026828940665432876	0.21082406811272628	0.016343244266592855	0.01765089487456036	0.05042376182143456	0.029541573547064034
(-) ACADM	0.0	0.0022500346953219863	0.0	0.11125972305969363	0.015329432023012258	0.0
(-) ACADS	0.055418777452855325	0.0	0.0	0.0323490963912007	0.11496052291419756	0.0
(-) ACCS	0.1712950990827888	0.0	0.12780120850155807	0.0	0.08464309222238725	0.03694592863600044
(-) ACTG1	0.02066108043337659	0.04839003976961006	0.038966021153458937	0.05299401384936689	0.010798019158569459	0.0
(-) ACTR3B	0.136185879913861	0.011913755785767042	0.02091599343910647	0.0	0.006458677823789909	0.000996742430075625
(-) ACTR6	0.019860927461151485	0.0	0.0	0.08821235424175668	0.07986578044840774	0.0
(-) ADAM32	0.20689445546676952	0.2025091412042998	0.06661340412103318	0.2549528250783024	0.2050695212237118	0.05439851568158016
(-) ADAMTS12	0.07142138290275028	0.1965320923039312	0.5048389968255276	0.08976257229452025	0.035252110020369445	0.11785583163111832
(-) ADAMTSL5	0.1707993578602336	0.0	0.051770375642663125	0.004628457011230215	0.3144885864057166	0.12013641811363032
(-) ADCY3	0.030358084311085203	0.0023373076408161994	0.0025876934295320196	0.05292169754869969	0.0	0.06108485799533559
(-) ADORA2B	0.00998568471092597	0.0032458358082938154	0.06396926759441018	0.09210731165673859	0.063224108908909	0.0
(-) AFF3	0.213235620037794	0.326230053625149	0.02176761818036945	0.0	0.0	0.3932089538915849
(-) AGAP9	0.10612715174192285	0.04094786886143111	0.05670884979108175	0.049740077772513526	0.022711800668335117	0.01962788294321354
(-) AGPAT2	0.0028656631397379903	0.0	0.06111522861598949	0.0	0.11142063392983707	0.0
(-) AHR	0.017974991106715115	0.04559946021436817	0.22762489654668694	0.149898566761952	0.03405107545451933	0.1567637060994555
(-) AIDA	0.0	0.08188521104555593	0.13163614859713393	0.03423802161911707	0.0	0.0
(-) ALCAM	0.06985843849142195	0.07863378210182582	0.028956584948589045	0.0	0.04785616313005807	0.03646767642096725
(-) ALDH5A1	0.1946715874478148	0.0	0.0	0.0	0.3452583383327673	0.1397596979239988
(-) ALG12	0.003494747452202005	0.0	0.028961135633717366	0.06545344927232093	0.038315031215334285	0.0
(-) ALG14	0.06803146694348572	0.005028040489148562	0.028141763796663877	0.1334006839861079	0.09515772977918645	0.0
(-) ALG9	0.03466338236439522	0.01919816400065306	0.019815343933083276	0.11944326168639968	0.029885498226456707	0.0062020261153419385
(-) ALPK2	0.0	0.39803678020568517	0.0	0.03681554715686881	0.2502898895416995	0.163185052700833
(-) AMPD2	0.0	0.18857391270130763	0.0	0.026862347167854267	0.05020565372612983	0.02211293785276707
(-) ANAPC4	0.02519595990764186	0.036218961178840374	0.0	0.10769332021276601	0.0	0.012424559597104399
(-) ANAPC7	0.0	0.0	0.0	0.137940492650157	0.0	0.053106213012191934
(-) ANGPTL2	0.03080974501818411	0.35150897069784387	0.026350863329154303	0.0835984026022133	0.0007749777365535614	0.12175104574059412
(-) ANKEF1	0.018489787674497726	0.0	0.20266620110814368	0.05945072090805168	0.3629568699929859	0.3725056091840041
(-) ANKIB1	0.01715493310268036	0.1412603626314975	0.12145114122246431	0.0	0.12503646809669172	0.05971242318770518
(-) ANKLE2	0.0	0.013244874887100229	0.011723277148251027	0.15323509849594616	0.005601813173561491	0.0
(-) ANKRD10	0.09055640462096089	0.03372885012922996	0.0	0.01372411541840767	0.04875427245965058	0.0
(-) ANXA6	0.0	0.2165733492627319	0.20132714262526874	0.0	0.0	0.09735091569689247
(-) AP1B1	0.04524675549665585	0.0024310191289687567	0.024546854052608813	0.0678381143960198	1.898253674994514e-05	0.0
(-) AP2M1	0.019566129153467553	0.10873303061848162	0.0013845068750396106	0.009995234301295473	0.0	0.10150188719120035
(-) APBA2	0.11518284574653857	0.2235000582075136	0.020471014252261496	0.0	0.4803225879828296	0.22156420251528056
(-) APBB1	0.04252396790565527	0.22991372870180754	0.0	0.0014391263277911475	0.011359148722814563	0.0
(-) APLF	0.2375459613738192	0.03206351407056614	0.28422833067799	0.0	0.04652147757476089	0.15482620261306082
(-) APOBEC3B	0.0	0.0	0.22059382958340384	0.13667633657022188	0.0	0.0
(-) APOBEC3D	0.150947183172686	0.02508307046230502	0.26992926382558774	0.24260652658204868	0.04774703412162907	0.0
(-) APOBEC3G	0.11031906516036752	0.3268490120938678	0.1875040593841509	0.0	0.10089764928339048	0.0
(-) AR	0.2723790657128227	0.2852189455331799	0.17231341155454902	0.09300066384976434	0.44168356156432204	0.0
(-) ARAF	0.053459807061600945	0.016346032024410165	0.0	0.04580671999964883	0.0	0.0
(-) ARF1	0.03770775944689618	0.023224953374619207	0.13638990775273188	0.03846521352366922	0.021766841173202753	0.0
(-) ARF4	0.0	0.17936903707344193	0.12840664742664518	0.0	0.019791360325762473	0.0
(-) ARFGAP1	0.0	0.09556291359714048	0.15877923661428206	0.0	0.007283830095409717	0.08105478104475247
(-) ARFGAP2	0.008399208668589501	0.0	0.0023927834474998804	0.016830952261604692	0.05896371732591452	0.0970085995410828
(-) ARFGEF1	0.04565649876424072	0.0019507358018037344	0.01687853593336456	0.06606773043576618	0.04476345643126746	0.0010741088749722288
(-) ARHGAP11A	0.0	0.0	0.0	0.19791924404101785	0.0	0.0
(-) ARHGAP18	0.06348043532679865	0.11480502254746955	0.0	0.04106338225282275	0.0	0.0
(-) ARHGAP22	0.10658487665915416	0.04529867757024695	0.3182435076561314	0.008932079239405387	0.0	0.33751709585973644
(-) ARHGAP23	0.0	0.025491902269333424	0.08590352419207194	0.017839003918710735	0.060838390312351984	0.05892722907213729
(-) ARHGAP24	0.0755684104043165	0.1710184493721684	0.3281091240909393	0.04175720275645252	0.0	0.2812337207905796
(-) ARHGAP35	0.0	0.12464367822816744	0.0	0.035982001107093514	0.0899511461074539	0.02118032924831611
(-) ARHGEF1	0.036983818630959564	0.01489106997495524	0.003481980808812224	0.05359979564040094	0.0	0.007433318056950702
(-) ARHGEF10	0.07253822858388152	0.18101839732580421	0.2952686870583489	0.007980577488338464	0.11782263847489348	0.07067814356741338
(-) ARHGEF10L	0.02902532526685298	0.004824444946630756	0.0	0.009860024246203773	0.10976707407159535	0.14833640093729913
(-) ARHGEF17	0.02347438003252602	0.024890529951409727	0.0	0.03731132689822615	0.21922583095309714	0.05103544941731479
(-) ARHGEF25	0.020211746014455967	0.2196666255825251	0.008792244280596419	0.08715665392732821	0.00457694766870826	0.0
(-) ARHGEF26	0.23058249838046282	0.085809526970898	0.0	0.10860717802977865	0.054174677967743265	0.00030286079244334565
(-) ARHGEF6	0.03960872370474737	0.4370889748370407	0.01215735137253735	0.0	0.018543789921640692	0.0
(-) ARL10	0.06982673116208583	0.2146103526262361	0.0	0.4326702909539397	0.505811461367008	0.051912876729331064
(-) ARMC1	0.0	0.0	0.11673185533975959	0.0758961581579981	0.0	0.0
(-) ARMC10	0.09762034108428772	0.020376885283984996	0.06714225740622691	0.0	0.0	0.0
(-) ARMC2	0.0947733560915505	0.0716797297778892	0.039140759486200424	0.15409239258039928	0.030661440207473252	0.1277680493002637
(-) ARMC7	0.08264330349179955	0.0	0.0	0.08200128162703686	0.01953541008364614	0.014148556697152693
(-) ARMC8	0.0567376771317513	0.0	0.0	0.08294807464737491	0.014871106450460931	0.0
(-) ARMCX1	0.0	0.25491988696902274	0.047934135819405074	0.12947267060924791	0.0	0.09460581854346069
(-) ARMCX2	0.21838232282921013	0.3671494937065057	0.0	0.05463931064311658	0.0	0.0338980241363148
(-) ARMCX4	0.15555597849779804	0.2051184056265531	0.04840609707778602	0.3136929988358404	0.055373353691263866	0.0
(-) ARMCX5	0.0	0.0	0.005462802228417439	0.18275636172148682	0.0	0.0
(-) ARSD	0.01865204460777345	0.3641219281338951	0.0	0.0	0.1436605544275806	0.0981932985973797
(-) ASAH2	0.0991159945948548	0.1265500150670435	0.07865360661875713	0.16613414513877647	0.23420526998334917	0.04096041553988499
(-) ASB14	0.4258708605556416	0.2032967185384649	0.16761538221153285	0.21238286298019468	0.2145182319310972	0.19580000678558926
(-) ASB16	0.1251404203953354	0.10573783064245214	0.0	0.04128647960894227	0.010801842555134456	0.06823922641576471
(-) ASB9	0.24343450049944515	0.09776507277564399	0.08306449238546981	0.02052168485426679	0.0961056862372902	0.023450723217532606
(-) ASF1A	0.018613981137701862	0.020279344631804946	0.0	0.115665342723694	0.0	0.020612189038557074
(-) ASNA1	0.015645264139874306	0.026289980704333013	0.0	0.05217196107490752	0.0	0.05918006067704792
(-) ASPM	0.0	0.0	0.0	0.15962809239537554	0.0	0.0
(-) ATAD1	0.12197979840995503	0.013914357632618599	0.0	0.04260440649953793	0.0	0.0
(-) ATAD3A	0.0	0.012677706459245177	0.07520907377524959	0.09742887389467111	0.010418382472514386	0.05447171612954011
(-) ATG5	0.007267350223906759	0.016380786685872586	0.0	0.1343528121449113	0.0	0.00526960241016617
(-) ATL1	0.29935408369752803	0.049462157497698035	0.004248827219465575	0.01089321147891163	0.20151651403676374	0.05245981062346272
(-) ATOH8	0.07586643165534858	0.29571708298045496	0.22189603583908898	0.1920360198091766	0.06540435062464206	0.24588243338224722
(-) ATP6V1A	0.06836181254048133	0.0	0.0	0.010595252244152083	0.0	0.102917302290575
(-) ATP6V1E1	0.049769280433885385	0.017615902985811137	0.0004694162619911476	0.03701434719420707	0.05236893554144875	0.004917416478384
(-) ATP9B	0.04968362135124347	0.09975145715484522	0.018027237305332112	0.04501181404356048	0.1386728582357586	0.012040603098023765
(-) ATRN	0.0	0.1234766772563608	0.05319693431471754	0.0	0.21510689825233306	0.0
(-) ATXN1	0.0	0.21844921628690284	0.0	0.0	0.20091565314003754	0.028887319581928445
(-) ATXN10	0.028031545636131708	0.020259327873672232	0.0034922064072785497	0.06447218952035362	0.00703977751816866	0.0
(-) ATXN2L	0.0	0.11689943752031315	0.0002127120233238291	0.09518720124081323	0.0	0.0
(-) ATXN7	0.04280283915613967	0.1208791204512091	0.005456103006601572	0.010215475529163206	0.00904744459544749	0.015810857025779772
(-) AUH	0.0649258795082273	0.0	0.0	0.051789435347321736	0.0	0.08746511464384121
(-) AUNIP	0.027691696702786792	0.0	0.05445253109037047	0.3234484467670618	0.0	0.011976203324998602
(-) AURKAIP1	0.012322203865932068	0.012677297966293863	0.11333859381528992	0.04301057630894842	0.0	0.03526587853213404
(-) AUTS2	0.19071071316966623	0.1488072480493656	0.0	0.0	0.43904008510445613	0.18280277251142366
(-) AXL	0.0	0.13899540859368195	0.22326879676666025	0.008200515174589815	0.024867867909892056	0.04421922694637969
(-) B3GALT6	0.021188342437658905	0.19899322292211344	0.13525160578599402	0.007636040020665113	0.02612507109156818	0.0
(-) B3GNT5	0.4130736532573473	0.07413657033946644	0.021035395931178407	0.10526702367280004	0.012370394304628936	0.028272940247802036
(-) B3GNT9	0.00447233988857155	0.21762210777698426	0.03229406588719249	0.0773999709141696	0.1835197591238517	0.08853670807726248
(-) B4GALT6	0.2680992814350215	0.0	0.3348523713300669	0.0	0.0	0.3264888845957058
(-) BACE2	0.02823610316961943	0.0	0.3081307081964229	0.0	0.0	0.24975400413031
(-) BAG2	0.0434103043888268	0.1465498694183883	0.007751684613719535	0.15120317985404494	0.0	0.0
