	P0	P1	P2	P3	P4	P5	P6
(-) AAMDC	0.07972538548755446	0.08652568363232337	0.002622802164414447	0.0	0.0774616558486294	0.014489054948796251	0.027069053008803433
(-) AASDHPPT	0.019129176494740358	0.0	0.002449443883761013	0.08499250367962853	0.050301281374536516	0.0	0.0009227551084646117
(-) ABCA5	0.17203840819260413	0.0	0.0	0.07142569046701465	0.25846036639217707	0.04417228276229201	0.03404925181601908
(-) ABCB8	0.11509540237975109	0.0015553247148703032	0.024469952419160078	0.0	0.0	0.08416906392393318	0.003656546288497401
(-) ABCC3	0.03661728451460986	0.002767127377675212	0.0	0.10741367763790395	0.28785161043076546	0.05503931442618407	0.11841737301590864
(-) ABCD3	0.0030323857192903507	0.0	0.007868366800871425	0.07261640098118546	0.13135573172874837	0.0	0.012738625064998961
(-) ABHD8	0.09864311618569102	0.13140382566825623	0.0	0.025777608875873416	0.032165426095311714	0.004990300386114405	0.0
(-) ABL1	0.0	0.06886662645329834	0.057525294797316696	0.012352590119988268	0.05195487995786001	0.027082807024233282	0.015576232749573864
(-) ABLIM3	0.0	0.03870293278516793	0.58459658042082	0.0	0.0	0.11477629221105771	0.07366877972678121
(-) ABTB1	0.1770562669440506	0.0	0.05812007071888669	0.0	0.0	0.06350814590852909	0.0
(-) AC141586.5	0.014230285927290974	0.1638934014363074	0.01507058419736957	0.019205194399867075	0.05614484171492473	0.026712609301013598	0.02898922170366947
(-) ACADM	0.0	0.00040209979397158086	0.0	0.1126130795068468	0.018606022888741074	0.0	0.006302645127859254
(-) ACADS	0.07048716962086807	0.002205025741088827	0.0	0.03201349406125642	0.13229756969188855	0.0	0.0
(-) ACCS	0.19859919292788622	0.005359542277353874	0.15027791296822968	0.0	0.09458783867039684	0.03325922105612234	0.01850744354935624
(-) ACTG1	0.023836403441592578	0.03560304445937739	0.048273782951704994	0.054719336043403906	0.01177793422989256	0.0	0.014204553557925225
(-) ACTR3B	0.16393096736320323	0.020982390192696158	0.01984616519012527	0.0	0.0035378960159280323	0.0	0.0
(-) ACTR6	0.024541707895074802	0.0	0.0	0.09012840887913628	0.09503764310965297	0.0	0.0
(-) ADAM32	0.21121780341028135	0.13773273261675578	0.07938119014516769	0.252301045952655	0.24094179087272571	0.05108661478710547	0.13809846134246373
(-) ADAMTS12	0.09878260574764171	0.17496713173182873	0.6022413391452553	0.08302519660507451	0.039806610687650394	0.10523318027010313	0.04878647404711562
(-) ADAMTSL5	0.20202017381210866	0.0	0.06128355398413479	0.0047767471973964035	0.37298590537917325	0.11514586442368965	0.0
